Index, Item, Probes,
  0,Constriction    ,1
  1,orthodontist    ,1
  3,Qamruddin       ,2
  4,Finagle         ,4
  6,Irreversible    ,1
  7,Northwest       ,2
  8,Todd            ,2
 10,Christopher     ,1
 11,Charles         ,2
 12,Dugger          ,2
 13,Necromancer     ,1
 15,wet             ,5
 16,Misogamist      ,2
 17,James           ,2
 18,Under           ,4
 19,Jeffrey         ,5
 20,Joseph          ,3
 21,Yolk            ,2
 23,Joel            ,2
 24,Eye             ,3
 26,Jutty           ,3
 28,Batbold         ,2
 31,marsupial       ,5
 32,Buck            ,2
 33,Lisa            ,2
 34,wince           ,3
 35,Fabricate       ,5
 36,Garza           ,2
 37,Maiden          ,2
 38,Derek           ,2
 40,toluene         ,7
 42,Scott           ,2
 43,Crouch          ,2
 46,Honor           ,3
 47,Chris           ,3
 49,Ellington       ,2
 50,Judy            ,4
 51,sparse          ,3
 52,Clayton         ,2
 54,cauldron        ,4
 56,Fabulous        ,3
 58,poison          ,2
 59,Farral          ,2
 61,Michael         ,2
 62,Corey           ,3
 63,Adam            ,2
 65,Carmona         ,1
 66,Casper          ,2
 67,Acevedo         ,1
 68,Clark           ,2
 69,Red             ,1
 70,Afterwards      ,1
 71,Aguirrie        ,1
 72,Bhandari        ,1
 73,Nienberg        ,1
 74,Ajose           ,1
 75,Akhila          ,1
 76,Alcantara       ,1
 77,Syncopate       ,4
 78,Salkowski       ,2
 79,Cook            ,1
 80,prepossess      ,4
 81,Kelly           ,2
 82,Arauza          ,1
 83,live            ,2
 84,Staple          ,1
 85,Zulfiqar        ,1
 86,cap             ,7
 87,scat            ,2
 88,Matthew         ,2
 89,Kyle            ,1
 90,Person          ,6
 91,Egbe            ,2
 92,Octavio         ,3
 93,Paschal         ,2
 94,Dustin          ,2
 96,Fernando        ,4
 98,Wine            ,3
 99,Veronica        ,2
101,ratiocination   ,2
102,Daniels         ,3
105,parasympathetic ,2
106,Rush            ,3
107,brutalize       ,8
109,Screen          ,2
110,John            ,3
112,Wade            ,2
113,Jordon          ,2
115,inlet           ,3
116,Vinnela         ,2
117,magnetic        ,4
118,Gurung          ,3
119,quandary        ,5
120,constrain       ,3
121,rationalize     ,3
122,Perfect         ,7
123,Cook            ,4
124,mole            ,2
125,Robert          ,2
127,Davies          ,2
